u移動系
しい
コマンド	動作
h, j, k, l	左, 下, 上, 右
gj, gk	下, 上に1行移動. (エディタで表示されている行上で移動, つまり, エディタの横幅の制約によって行が折り返されている場合でも, 移動可能)
w	1単語分進む
W	1単語分進む(記号では区切られないので, 次のスペースや, 改行文字まで飛ぶ)
b	1単語分戻る
B	1単語分戻る(記号では区切られないので, 前のスペースや, 改行文字まで飛ぶ)
f[文字]	次の[文字]まで飛ぶ
F[文字]	前の[文字]まで飛ぶ
t[文字]	次の[文字]の手前まで飛ぶ
T[文字]	前の[文字]の次まで飛ぶ
;	f, F, t, Tで検索した文字を同方向に繰り返し検索する
,	f, F, t, Tで検索した文字を逆方向に繰り返し検索する
g;	直前に変更した位置にカーソルを移動(繰り返し入力することで, 変更リストを遡る)
g,	g#を使用して遡った変更リストを逆順に進め, カーソルを移動する.
gg	ファイルの先頭に移動
G	ファイルの最後に移動
[数値]gg, [数値]G, :[数値]	[数値]行に移動
H, M, L	画面に表示されている行について, 最初の行(H), 真ん中の行(M), 最後の行(L)に移動
0	行の先頭に移動
^	行のテキスト部分の先頭に移動
$	行の最後に移動
%	対応する括弧に移動
(	文単位での移動. 前の文の先頭に移動
)	文単位での移動. 後ろの文の先頭に移動
{	段落単位での移動. 前の段落の先頭に移動
}	段落単位での移動. 後ろの段落の先頭に移動
Ctrl-u	半画面分戻る
Ctrl-d	半画面分進む
Ctrl-b	1画面分戻る
Ctrl-f	1画面分進む
Ctrl-o	ジャンプリストを遡ってカーソルを移動する(検索や行数指定移動などがジャンプリストに保存されている)
Ctrl-i	ジャンプリストを進めてカーソルを移動する(検索や行数指定移動などがジャンプリストに保存されている)

# カーソル行を画面の先頭に
zt または z<Enter>

# カーソル行を画面の中央に
zz または z.

# カーソル行を画面の最後に
zb または z-
